internal_txn_id,transaction_date,amount,account_last4,merchant_descriptor,nacha_return_code,card_number_masked,mcc,merchant_number
TXN-21B8901398,2026-06-01,137.36,4012,TRAVEL PLAZA 12,,504987******4012,5541,MID700003
TXN-9C0CB52F51,2026-06-23,104.92,3611,PANTRY PLUS 77,,485006******3611,5499,MID700007
TXN-B8F68D9D9B,2026-06-28,71.75,4333,FUEL STOP #4471,,492525******4333,5541,MID700000
TXN-D67D25ABA1,2026-06-08,142.56,1307,TRAVEL PLAZA 12,,469974******1307,5541,MID700003
TXN-6FA8ADC305,2026-06-18,135.31,2677,PANTRY PLUS 77,,786133******2677,5499,MID700007
TXN-37EA22B8B6,2026-06-07,165.67,9292,CORNER STORE 3,,941259******9292,5499,MID700005
TXN-101AC616F8,2026-06-12,51.19,2266,PANTRY PLUS 77,,343814******2266,5499,MID700007
TXN-A167FE482E,2026-06-28,170.5,1876,EXPRESS FUEL 8,R29,728198******1876,5542,MID700004
TXN-2C8C8050EE,2026-06-10,153.88,8317,TRAVEL PLAZA 12,,740750******8317,5541,MID700003
TXN-171CC2784D,2026-06-10,54.51,3946,QUIKMART 0092,,488855******3946,5499,MID700001
TXN-6A5E731089,2026-06-07,168.27,3295,EXPRESS FUEL 8,,793267******3295,5542,MID700004
TXN-ED13A32E97,2026-06-23,119.13,3750,QUIKMART 0092,,512254******3750,5499,MID700001
TXN-A56D0AA0BC,2026-06-26,82.16,1545,QUIKMART 0092,,276165******1545,5499,MID700001
TXN-643E7D80FD,2026-06-07,46.38,7350,HWY60 FUEL CTR,,302870******7350,5542,MID700002
TXN-73606F4C76,2026-06-30,139.34,3872,HWY60 FUEL CTR,R08,165593******3872,5542,MID700002
TXN-4F98B098D2,2026-06-26,106.7,7973,HWY60 FUEL CTR,R04,203570******7973,5542,MID700002
TXN-D6F9901A95,2026-06-03,155.47,1122,QUIKMART 0092,R16,112195******1122,5499,MID700001
TXN-6A45C17FF1,2026-06-22,133.17,3910,EXPRESS FUEL 8,,682645******3910,5542,MID700004
TXN-E52DB9FA0D,2026-06-09,36.86,5718,QUIKMART 0092,,223473******5718,5499,MID700001
TXN-11849B3A47,2026-06-22,32.09,2200,EXPRESS FUEL 8,,565681******2200,5542,MID700004
TXN-052F27B81F,2026-06-28,23.38,6939,EXPRESS FUEL 8,,700505******6939,5542,MID700004
TXN-605EF05AA5,2026-06-05,105.02,6049,HWY60 FUEL CTR,,558694******6049,5542,MID700002
TXN-DFCE0B5ECD,2026-06-28,82.05,2532,TRAVEL PLAZA 12,,101059******2532,5541,MID700003
TXN-DD3D74C303,2026-06-09,41.27,1771,GAS N GO 214,,569820******1771,5541,MID700006
TXN-A6F8F1F2F4,2026-06-28,26.45,4573,CORNER STORE 3,,504965******4573,5499,MID700005
TXN-98694B0E8B,2026-06-14,72.04,5139,GAS N GO 214,,435064******5139,5541,MID700006
TXN-FE9A1E8A5B,2026-06-22,47.51,7066,QUIKMART 0092,,191450******7066,5499,MID700001
TXN-9480469A77,2026-06-07,84.37,6211,HWY60 FUEL CTR,,712781******6211,5542,MID700002
TXN-4A91F34C20,2026-06-16,145.97,2780,QUIKMART 0092,,464669******2780,5499,MID700001
TXN-6A3B73A0CC,2026-06-20,155.21,1193,PANTRY PLUS 77,,497636******1193,5499,MID700007
TXN-03D7CAF9FE,2026-06-14,51.11,8486,PANTRY PLUS 77,,442454******8486,5499,MID700007
TXN-EB743AC8A4,2026-06-24,162.18,6991,PANTRY PLUS 77,,657489******6991,5499,MID700007
TXN-E126236570,2026-06-10,53.69,5502,CORNER STORE 3,,212277******5502,5499,MID700005
TXN-DC605CDF6B,2026-06-13,164.3,9569,FUEL STOP #4471,,701296******9569,5541,MID700000
TXN-476ACBDEF8,2026-06-20,163.14,7999,TRAVEL PLAZA 12,,807334******7999,5541,MID700003
TXN-A270635C6C,2026-06-19,108.12,0444,QUIKMART 0092,,906005******0444,5499,MID700001
TXN-B0F31F003D,2026-06-09,152.76,7705,FUEL STOP #4471,,840510******7705,5541,MID700000
TXN-7459FBC249,2026-06-08,35.83,1874,TRAVEL PLAZA 12,,883226******1874,5541,MID700003
TXN-F39D3B4ACC,2026-06-19,126.76,6149,GAS N GO 214,,205142******6149,5541,MID700006
TXN-1A06765E72,2026-06-02,72.29,7018,CORNER STORE 3,,138440******7018,5499,MID700005
TXN-7D953E47C9,2026-06-17,174.3,4425,PANTRY PLUS 77,,285774******4425,5499,MID700007
TXN-75449E8833,2026-06-11,19.74,5325,HWY60 FUEL CTR,,515142******5325,5542,MID700002
TXN-70463A585F,2026-06-18,140.1,7800,PANTRY PLUS 77,,434214******7800,5499,MID700007
TXN-41318C237B,2026-06-12,130.97,4438,EXPRESS FUEL 8,,356836******4438,5542,MID700004
TXN-32084F8B2D,2026-06-17,113.47,1647,TRAVEL PLAZA 12,R05,902221******1647,5541,MID700003
TXN-75F4D1179A,2026-06-28,17.02,4658,PANTRY PLUS 77,,448745******4658,5499,MID700007
TXN-F1C9C3877D,2026-06-26,107.87,4978,QUIKMART 0092,,830900******4978,5499,MID700001
TXN-F33A221079,2026-06-10,108.82,0986,QUIKMART 0092,,953243******0986,5499,MID700001
TXN-134C9C3132,2026-06-08,62.54,4632,PANTRY PLUS 77,,294308******4632,5499,MID700007
TXN-9DE7746487,2026-06-05,26.78,2718,EXPRESS FUEL 8,,780663******2718,5542,MID700004
